alg,timestamp,infer_lr,infer_weight_decay,infer_num_epochs,gpu,seed,root_dir,results_csv,batch_size,num_epochs,lr,weight_decay,momentum,pretrained,infer_momentum,eiil_num_steps,eiil_lr,train_worst_group_accuracy,train_average_accuracy,group_accuracy,group_avg_precision,group_min_precision,group_avg_recall,group_min_recall,worst_group_accuracy,average_accuracy,early_stopping_worst_group_accuracy,early_stopping_average_accuracy,high_sampling_power,upsample_factor
eiil,2023-12-28 23:02:42.651629,0.001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,76.78832116788321,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,0.0,23.211678832116785,15.88785046728972,87.0182844663618,,
eiil,2023-12-28 23:51:46.946865,1e-05,0.01,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,76.70490093847758,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,14.1019955654102,86.85447660610507,51.929046563192905,96.0337087109685,,
eiil,2023-12-28 23:52:20.599341,0.0001,0.1,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,92.67987486965588,0.4470391993327773,0.541999181501944,0.5370370370370371,0.3242682887476201,0.2124463519313304,51.88470066518847,84.82378754310257,80.17738359201773,96.03271121313313,,
eiil,2023-12-28 23:54:07.866019,0.0001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,92.74244004171013,0.4495412844036697,0.5456924315619969,0.5370370370370371,0.3274871728677918,0.2188841201716738,53.58255451713396,86.29014386238367,78.19314641744548,95.92697315811893,,
eiil,2023-12-28 23:54:24.193811,1e-05,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,76.70490093847758,0.3386155129274395,0.2706422018348624,0.0,0.2218045112781954,0.0,14.19068736141907,86.82569545722957,51.88470066518847,96.033826145004,,
eiil,2023-12-28 23:54:45.052201,0.0001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,86.04796663190824,0.3836530442035029,0.4033018867924528,0.25,0.2647229662138178,0.0858369098712446,6.96230598669623,82.11167394791539,66.29711751662971,96.58917875758608,,
eiil,2023-12-28 23:55:01.379808,0.0001,1.0,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,91.8873826903024,0.4220183486238532,0.5015432098765432,0.4567901234567901,0.3012036529090968,0.1587982832618025,21.773835920177383,83.39808136382288,76.45232815964523,96.38836776695312,,
eiil,2023-12-28 23:55:49.538229,0.0001,1.0,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.1385041551246537,84.96350364963504,0.3744787322768974,0.380964092474176,0.2105263157894736,0.2561392752266933,0.0686695278969957,8.292682926829269,83.01280896040129,56.36363636363637,96.18087748506254,,
eiil,2023-12-28 23:56:26.945931,0.001,0.1,1,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,96.35036496350364,0.5062552126772311,0.6013303022648817,0.3738317757009345,0.3478008325534867,0.3007518796992481,0.1557632398753894,76.92776848127676,83.17757009345794,90.84893811908432,,
eiil,2023-12-28 23:56:55.677528,0.001,0.01,2,0,0,/data,/home/sjoshi/spuco_experiments/group_inference_tuning/results.csv,64,300,1e-05,1.0,0.9,True,0.9,20000.0,0.01,0.0,98.81126173096976,0.4386989157631359,0.624012474012474,0.4864864864864865,0.2415615218303268,0.2124463519313304,7.165109034267913,86.21149338228167,72.28381374722838,95.58380617207044,,
